ID,Count
31955,1.693843033
31956,1.694523994
31957,1.695202889
31958,1.695879718
31959,1.696554485
31960,1.69722719
31961,1.697897835
31962,1.698566421
31963,1.699232951
31964,1.699897425
31965,1.700559845
31966,1.701220214
31967,1.701878532
31968,1.7025348
31969,1.703189022
31970,1.703841197
31971,1.704491329
31972,1.705139418
31973,1.705785465
31974,1.706429473
31975,1.707071444
31976,1.707711378
31977,1.708349277
31978,1.708985143
31979,1.709618978
31980,1.710250782
31981,1.710880559
31982,1.711508308
31983,1.712134032
31984,1.712757733
31985,2
31986,1.713999069
31987,1.714616708
31988,1.71523233
31989,1.715845936
31990,1.716457528
31991,1.717067107
31992,1.717674675
31993,1.718280234
31994,1.718883786
31995,1.71948533
31996,1.720084871
31997,1.720682408
31998,1.721277944
31999,1.721871479
32000,1.722463017
32001,1.723052558
32002,1.723640103
32003,1.724225655
32004,1.724809215
32005,1.725390785
32006,1.725970366
32007,1.72654796
32008,1.727123568
32009,1.727697192
32010,1.728268833
32011,1.728838493
32012,1.729406175
32013,1.729971878
32014,1.730535605
32015,1.731097358
32016,1.731657138
32017,1.732214946
32018,1.732770785
32019,1.733324655
32020,1.733876559
32021,1.734426497
32022,1.734974472
32023,1.735520486
32024,1.736064539
32025,1.736606633
32026,1.73714677
32027,1.737684951
32028,1.738221178
32029,1.738755453
32030,1.739287778
32031,1.739818153
32032,1.74034658
32033,1.740873061
32034,1.741397598
32035,1.741920192
32036,1.742440844
32037,1.742959557
32038,1.743476332
32039,1.74399117
32040,1.744504073
32041,1.745015042
32042,1.74552408
32043,1.746031188
32044,1.746536367
32045,1.747039618
32046,1.747540945
32047,1.748040347
32048,1.748537827
32049,1.749033387
32050,1.749527027
32051,1.750018749
32052,1.750508556
32053,1.750996448
32054,1.751482428
32055,1.751966496
32056,1.752448654
32057,1.752928905
32058,1.753407249
32059,1.753883688
32060,1.754358223
32061,1.754830857
32062,1.755301591
32063,1.755770426
32064,1.756237364
32065,1.756702407
32066,1.757165556
32067,1.757626813
32068,1.758086179
32069,1.758543656
32070,1.758999245
32071,1.759452949
32072,1.759904768
32073,1.760354705
32074,1.76080276
32075,1.761248936
32076,1.761693233
32077,1.762135655
32078,1.762576201
32079,1.763014874
32080,1.763451676
32081,1.763886607
32082,1.76431967
32083,1.764750866
32084,1.765180197
32085,1.765607664
32086,1.766033269
32087,1.766457013
32088,1.766878898
32089,1.767298926
32090,1.767717098
32091,1.768133416
32092,1.768547881
32093,1.768960495
32094,1.769371259
32095,1.769780176
32096,1.770187246
32097,1.770592471
