,Community,month,year,Street_lights
2811,39,11,2009,1
2812,39,11,2010,2
2813,39,11,2011,3
2814,39,11,2012,4
2815,39,11,2014,2
2816,39,11,2016,2
2817,39,12,2011,5
2818,39,12,2012,2
2819,39,12,2013,1
2820,39,12,2014,1
2821,39,12,2015,1
2822,40,1,2011,10
2823,40,1,2012,6
2824,40,1,2013,3
2825,40,1,2014,3
2826,40,1,2015,1
2827,40,1,2017,1
2828,40,2,2011,6
2829,40,2,2012,11
2830,40,2,2013,2
2831,40,2,2014,2
2832,40,2,2015,5
2833,40,2,2016,3
2834,40,2,2017,2
2835,40,2,2018,1
2836,40,3,2011,12
2837,40,3,2012,5
2838,40,3,2013,1
2839,40,3,2014,4
2840,40,3,2015,3
2841,40,3,2016,1
2842,40,3,2017,3
2843,40,3,2018,1
2844,40,4,2010,2
2845,40,4,2011,13
2846,40,4,2012,9
2847,40,4,2013,5
2848,40,4,2014,1
2849,40,4,2015,3
2850,40,4,2016,5
2851,40,4,2017,1
2852,40,4,2018,2
2853,40,5,2010,5
2854,40,5,2011,17
2855,40,5,2012,8
2856,40,5,2013,4
2857,40,5,2014,1
2858,40,5,2015,4
2859,40,5,2016,1
2860,40,5,2017,3
2861,40,5,2018,8
2862,40,6,2010,6
2863,40,6,2011,19
2864,40,6,2012,19
2865,40,6,2013,3
2866,40,6,2014,1
2867,40,6,2015,2
2868,40,6,2016,10
2869,40,6,2018,3
2870,40,7,2010,14
2871,40,7,2011,5
2872,40,7,2012,17
2873,40,7,2013,11
2874,40,7,2014,10
2875,40,7,2015,2
2876,40,7,2016,2
2877,40,7,2017,7
2878,40,7,2018,3
2879,40,8,2010,5
2880,40,8,2011,8
2881,40,8,2012,14
2882,40,8,2013,8
2883,40,8,2014,5
2884,40,8,2015,2
2885,40,8,2016,4
2886,40,8,2017,2
2887,40,8,2018,4
2888,40,9,2008,1
2889,40,9,2010,5
2890,40,9,2011,9
2891,40,9,2012,9
2892,40,9,2013,12
2893,40,9,2014,1
2894,40,9,2015,9
2895,40,9,2016,4
2896,40,9,2017,3
2897,40,9,2018,2
2898,40,10,2010,7
2899,40,10,2011,11
2900,40,10,2012,2
2901,40,10,2013,6
2902,40,10,2014,4
2903,40,10,2015,4
2904,40,10,2016,2
2905,40,10,2017,3
2906,40,10,2018,1
2907,40,11,2010,5
2908,40,11,2011,7
2909,40,11,2012,8
2910,40,11,2013,3
2911,40,11,2014,2
2912,40,11,2015,3
2913,40,11,2016,2
2914,40,12,2010,5
2915,40,12,2011,7
2916,40,12,2012,3
2917,40,12,2013,3
2918,40,12,2014,6
2919,40,12,2015,4
2920,40,12,2016,2
2921,41,1,2012,1
2922,41,1,2013,2
2923,41,1,2015,3
2924,41,1,2016,1
2925,41,1,2018,2
2926,41,2,2016,2
2927,41,2,2017,1
2928,41,2,2018,1
2929,41,3,2011,2
2930,41,3,2012,3
2931,41,3,2016,3
2932,41,3,2018,3
2933,41,4,2011,1
2934,41,4,2012,1
2935,41,4,2013,1
2936,41,4,2015,2
2937,41,4,2016,1
2938,41,5,2011,3
2939,41,5,2015,1
2940,41,6,2010,1
2941,41,6,2012,1
2942,41,6,2014,2
2943,41,6,2015,2
2944,41,7,2010,1
2945,41,7,2011,2
2946,41,7,2013,2
2947,41,7,2017,1
2948,41,8,2010,2
2949,41,8,2011,1
2950,41,8,2012,1
2951,41,8,2013,2
2952,41,8,2014,2
2953,41,8,2015,1
2954,41,8,2016,1
2955,41,8,2017,1
2956,41,9,2011,1
2957,41,9,2013,2
2958,41,9,2015,1
2959,41,9,2016,1
2960,41,9,2017,1
2961,41,9,2018,1
2962,41,10,2014,1
2963,41,11,2012,1
2964,41,12,2011,2
2965,41,12,2013,1
2966,42,1,2010,3
2967,42,1,2011,24
2968,42,1,2012,12
2969,42,1,2013,13
2970,42,1,2014,3
2971,42,1,2015,3
2972,42,1,2016,5
2973,42,1,2017,9
2974,42,1,2018,7
2975,42,2,2010,8
2976,42,2,2011,15
2977,42,2,2012,19
2978,42,2,2013,6
2979,42,2,2014,2
2980,42,2,2015,1
2981,42,2,2016,14
2982,42,2,2017,12
2983,42,2,2018,3
2984,42,3,2010,5
2985,42,3,2011,17
2986,42,3,2012,26
2987,42,3,2013,21
2988,42,3,2014,8
2989,42,3,2015,9
2990,42,3,2016,3
2991,42,3,2017,8
2992,42,3,2018,2
