,Community,month,year,Sanitation_request
5904,64.0,10,2015,4
5905,64.0,10,2016,22
5906,64.0,10,2017,4
5907,64.0,10,2018,3
5908,64.0,11,2011,7
5909,64.0,11,2012,2
5910,64.0,11,2013,4
5911,64.0,11,2014,2
5912,64.0,11,2015,2
5913,64.0,11,2016,14
5914,64.0,11,2017,7
5915,64.0,12,2010,3
5916,64.0,12,2011,6
5917,64.0,12,2012,4
5918,64.0,12,2013,2
5919,64.0,12,2014,3
5920,64.0,12,2015,1
5921,64.0,12,2016,12
5922,64.0,12,2017,4
5923,65.0,1,2011,11
5924,65.0,1,2012,11
5925,65.0,1,2013,2
5926,65.0,1,2014,11
5927,65.0,1,2015,9
5928,65.0,1,2016,14
5929,65.0,1,2017,5
5930,65.0,1,2018,8
5931,65.0,2,2011,31
5932,65.0,2,2012,5
5933,65.0,2,2013,7
5934,65.0,2,2014,11
5935,65.0,2,2015,21
5936,65.0,2,2016,13
5937,65.0,2,2017,17
5938,65.0,2,2018,7
5939,65.0,3,2011,65
5940,65.0,3,2012,12
5941,65.0,3,2013,8
5942,65.0,3,2014,16
5943,65.0,3,2015,14
5944,65.0,3,2016,12
5945,65.0,3,2017,4
5946,65.0,3,2018,6
5947,65.0,4,2011,9
5948,65.0,4,2012,4
5949,65.0,4,2013,11
5950,65.0,4,2014,4
5951,65.0,4,2015,10
5952,65.0,4,2016,15
5953,65.0,4,2017,9
5954,65.0,4,2018,3
5955,65.0,5,2011,7
5956,65.0,5,2012,9
5957,65.0,5,2013,8
5958,65.0,5,2014,12
5959,65.0,5,2015,13
5960,65.0,5,2016,17
5961,65.0,5,2017,21
5962,65.0,5,2018,9
5963,65.0,6,2011,14
5964,65.0,6,2012,11
5965,65.0,6,2013,10
5966,65.0,6,2014,33
5967,65.0,6,2015,17
5968,65.0,6,2016,22
5969,65.0,6,2017,19
5970,65.0,6,2018,6
5971,65.0,7,2011,10
5972,65.0,7,2012,14
5973,65.0,7,2013,9
5974,65.0,7,2014,17
5975,65.0,7,2015,17
5976,65.0,7,2016,19
5977,65.0,7,2017,24
5978,65.0,7,2018,15
5979,65.0,8,2011,11
5980,65.0,8,2012,14
5981,65.0,8,2013,18
5982,65.0,8,2014,16
5983,65.0,8,2015,14
5984,65.0,8,2016,23
5985,65.0,8,2017,14
5986,65.0,8,2018,10
5987,65.0,9,2011,11
5988,65.0,9,2012,7
5989,65.0,9,2013,8
5990,65.0,9,2014,15
5991,65.0,9,2015,7
5992,65.0,9,2016,9
5993,65.0,9,2017,10
5994,65.0,9,2018,20
5995,65.0,10,2011,6
5996,65.0,10,2012,3
5997,65.0,10,2013,6
5998,65.0,10,2014,16
5999,65.0,10,2015,10
6000,65.0,10,2016,9
6001,65.0,10,2017,10
6002,65.0,10,2018,17
6003,65.0,11,2011,5
6004,65.0,11,2012,2
6005,65.0,11,2013,9
6006,65.0,11,2014,8
6007,65.0,11,2015,9
6008,65.0,11,2016,6
6009,65.0,11,2017,8
6010,65.0,12,2010,1
6011,65.0,12,2011,5
6012,65.0,12,2012,5
6013,65.0,12,2013,8
6014,65.0,12,2014,7
6015,65.0,12,2015,10
6016,65.0,12,2016,4
6017,65.0,12,2017,3
6018,66.0,1,2011,26
6019,66.0,1,2012,34
6020,66.0,1,2013,27
6021,66.0,1,2014,50
6022,66.0,1,2015,21
6023,66.0,1,2016,18
6024,66.0,1,2017,29
6025,66.0,1,2018,14
6026,66.0,2,2011,46
6027,66.0,2,2012,33
6028,66.0,2,2013,17
6029,66.0,2,2014,38
6030,66.0,2,2015,41
6031,66.0,2,2016,19
6032,66.0,2,2017,22
6033,66.0,2,2018,28
6034,66.0,3,2011,49
6035,66.0,3,2012,38
6036,66.0,3,2013,26
6037,66.0,3,2014,77
6038,66.0,3,2015,57
6039,66.0,3,2016,26
6040,66.0,3,2017,25
6041,66.0,3,2018,36
6042,66.0,4,2011,47
6043,66.0,4,2012,47
6044,66.0,4,2013,37
6045,66.0,4,2014,48
6046,66.0,4,2015,38
6047,66.0,4,2016,23
6048,66.0,4,2017,42
6049,66.0,4,2018,23
6050,66.0,5,2011,62
6051,66.0,5,2012,66
6052,66.0,5,2013,49
6053,66.0,5,2014,41
6054,66.0,5,2015,44
6055,66.0,5,2016,45
6056,66.0,5,2017,39
6057,66.0,5,2018,46
6058,66.0,6,2011,75
6059,66.0,6,2012,58
6060,66.0,6,2013,54
6061,66.0,6,2014,55
6062,66.0,6,2015,43
6063,66.0,6,2016,59
6064,66.0,6,2017,62
6065,66.0,6,2018,51
6066,66.0,7,2011,60
6067,66.0,7,2012,69
6068,66.0,7,2013,63
6069,66.0,7,2014,41
6070,66.0,7,2015,57
6071,66.0,7,2016,54
6072,66.0,7,2017,47
6073,66.0,7,2018,46
6074,66.0,8,2011,75
6075,66.0,8,2012,73
6076,66.0,8,2013,53
6077,66.0,8,2014,58
6078,66.0,8,2015,43
6079,66.0,8,2016,59
6080,66.0,8,2017,32
6081,66.0,8,2018,43
6082,66.0,9,2011,60
6083,66.0,9,2012,43
6084,66.0,9,2013,38
6085,66.0,9,2014,50
6086,66.0,9,2015,37
6087,66.0,9,2016,33
6088,66.0,9,2017,27
6089,66.0,9,2018,37
6090,66.0,10,2011,37
6091,66.0,10,2012,42
