,Year,month,time,Community,crime_count,Street_lights,Sanitation_request,building_abandon,Total,asian,Black,hispanic,white,other 
50,2010,1,evening,2,137,1,1,1,73019,17097,7644,13088,32839,2351
51,2010,1,evening,20,61,1,1,1,24836,204,377,22174,1814,267
52,2010,1,evening,21,85,1,1,1,39117,1297,873,23537,12629,781
53,2010,1,evening,22,202,1,1,1,74055,1896,3934,34658,32081,1486
54,2010,1,evening,23,287,1,1,1,54515,270,22604,28095,2863,683
55,2010,1,evening,24,242,1,1,1,84319,3244,6188,23730,48787,2370
56,2010,1,evening,25,616,1,1,1,99711,475,83987,10249,4213,787
57,2010,1,evening,26,169,1,1,1,18885,49,18083,399,289,65
58,2010,1,evening,27,174,1,1,2,20271,59,18543,680,827,162
59,2010,1,evening,28,223,1,1,2,58899,8731,17802,6046,25091,1229
60,2010,1,evening,29,262,1,1,3,35623,84,32077,2358,713,391
61,2010,1,evening,3,117,1,1,2,54062,5285,10785,6964,28972,2056
62,2010,1,evening,30,179,1,1,2,72881,170,8570,61499,2393,249
63,2010,1,evening,31,77,1,1,3,34979,383,1294,28661,4303,338
64,2010,1,evening,32,133,1,1,3,30642,5131,3786,1823,19094,808
65,2010,1,evening,33,36,1,1,3,22021,4246,5558,1424,10087,706
66,2010,1,evening,34,28,1,1,3,13850,9750,1479,543,1610,468
67,2010,1,evening,35,73,1,1,3,19430,2540,13815,426,2329,320
68,2010,1,evening,36,14,1,1,3,6473,140,6052,122,147,12
69,2010,1,evening,37,31,1,1,3,2543,0,2289,191,52,11
70,2010,1,evening,38,107,1,1,3,22531,102,20748,474,702,505
71,2010,1,evening,39,42,1,1,1,18217,1492,12362,701,3236,426
72,2010,1,evening,4,66,1,1,3,39547,4738,1525,6236,25865,1183
73,2010,1,evening,40,104,1,1,3,11647,11,11070,246,33,287
