,Community,month,year,Street_lights
2339,24,4,2013,38
2340,24,4,2014,59
2341,24,4,2015,137
2342,24,4,2016,141
2343,24,4,2017,138
2344,24,4,2018,122
2345,24,5,2011,48
2346,24,5,2012,42
2347,24,5,2013,45
2348,24,5,2014,144
2349,24,5,2015,186
2350,24,5,2016,209
2351,24,5,2017,145
2352,24,5,2018,96
2353,24,6,2011,54
2354,24,6,2012,35
2355,24,6,2013,41
2356,24,6,2014,117
2357,24,6,2015,157
2358,24,6,2016,179
2359,24,6,2017,180
2360,24,6,2018,110
2361,24,7,2011,74
2362,24,7,2012,62
2363,24,7,2013,68
2364,24,7,2014,185
2365,24,7,2015,135
2366,24,7,2016,314
2367,24,7,2017,145
2368,24,7,2018,150
2369,24,8,2011,62
2370,24,8,2012,66
2371,24,8,2013,54
2372,24,8,2014,156
2373,24,8,2015,219
2374,24,8,2016,270
2375,24,8,2017,195
2376,24,8,2018,153
2377,24,9,2010,1
2378,24,9,2011,81
2379,24,9,2012,78
2380,24,9,2013,73
2381,24,9,2014,173
2382,24,9,2015,118
2383,24,9,2016,235
2384,24,9,2017,134
2385,24,9,2018,203
2386,24,10,2010,3
2387,24,10,2011,75
2388,24,10,2012,71
2389,24,10,2013,60
2390,24,10,2014,118
2391,24,10,2015,222
2392,24,10,2016,210
2393,24,10,2017,330
2394,24,10,2018,207
2395,24,11,2010,13
2396,24,11,2011,70
2397,24,11,2012,57
2398,24,11,2013,61
2399,24,11,2014,121
2400,24,11,2015,232
2401,24,11,2016,228
2402,24,11,2017,224
2403,24,12,2010,21
2404,24,12,2011,47
2405,24,12,2012,45
2406,24,12,2013,24
2407,24,12,2014,123
2408,24,12,2015,290
2409,24,12,2016,170
2410,24,12,2017,143
2411,25,1,2011,94
2412,25,1,2012,154
2413,25,1,2013,46
2414,25,1,2014,34
2415,25,1,2015,117
2416,25,1,2016,331
2417,25,1,2017,234
2418,25,1,2018,203
2419,25,2,2011,122
2420,25,2,2012,97
2421,25,2,2013,38
2422,25,2,2014,66
2423,25,2,2015,174
2424,25,2,2016,209
2425,25,2,2017,202
2426,25,2,2018,251
2427,25,3,2011,169
2428,25,3,2012,141
2429,25,3,2013,43
2430,25,3,2014,96
2431,25,3,2015,201
2432,25,3,2016,176
2433,25,3,2017,364
2434,25,3,2018,406
2435,25,4,2011,150
2436,25,4,2012,148
2437,25,4,2013,62
2438,25,4,2014,147
2439,25,4,2015,203
2440,25,4,2016,280
2441,25,4,2017,126
2442,25,4,2018,420
2443,25,5,2011,113
2444,25,5,2012,188
2445,25,5,2013,69
2446,25,5,2014,225
2447,25,5,2015,309
2448,25,5,2016,254
2449,25,5,2017,204
2450,25,5,2018,305
2451,25,6,2010,1
2452,25,6,2011,198
2453,25,6,2012,134
2454,25,6,2013,83
2455,25,6,2014,210
2456,25,6,2015,482
2457,25,6,2016,247
2458,25,6,2017,232
2459,25,6,2018,296
2460,25,7,2011,145
2461,25,7,2012,144
2462,25,7,2013,118
2463,25,7,2014,380
2464,25,7,2015,453
2465,25,7,2016,389
2466,25,7,2017,224
2467,25,7,2018,200
2468,25,8,2011,142
2469,25,8,2012,173
2470,25,8,2013,138
2471,25,8,2014,344
2472,25,8,2015,301
2473,25,8,2016,369
2474,25,8,2017,227
2475,25,8,2018,156
2476,25,9,2010,12
2477,25,9,2011,136
2478,25,9,2012,160
2479,25,9,2013,141
2480,25,9,2014,377
2481,25,9,2015,417
2482,25,9,2016,289
2483,25,9,2017,240
2484,25,9,2018,149
2485,25,10,2010,40
2486,25,10,2011,174
2487,25,10,2012,143
2488,25,10,2013,73
2489,25,10,2014,275
2490,25,10,2015,182
2491,25,10,2016,324
2492,25,10,2017,437
2493,25,10,2018,283
2494,25,11,2010,35
2495,25,11,2011,131
2496,25,11,2012,144
2497,25,11,2013,85
2498,25,11,2014,179
2499,25,11,2015,346
2500,25,11,2016,370
2501,25,11,2017,189
2502,25,12,2010,72
2503,25,12,2011,201
2504,25,12,2012,74
2505,25,12,2013,49
2506,25,12,2014,167
2507,25,12,2015,279
2508,25,12,2016,198
2509,25,12,2017,279
2510,26,1,2011,34
2511,26,1,2012,23
2512,26,1,2013,9
2513,26,1,2014,11
2514,26,1,2015,79
2515,26,1,2016,47
2516,26,1,2017,87
2517,26,1,2018,59
2518,26,2,2011,11
2519,26,2,2012,14
2520,26,2,2013,12
2521,26,2,2014,11
2522,26,2,2015,71
2523,26,2,2016,148
2524,26,2,2017,77
2525,26,2,2018,51
2526,26,3,2011,18
2527,26,3,2012,12
2528,26,3,2013,6
2529,26,3,2014,21
2530,26,3,2015,107
2531,26,3,2016,71
2532,26,3,2017,78
2533,26,3,2018,105
2534,26,4,2011,36
2535,26,4,2012,13
2536,26,4,2013,18
2537,26,4,2014,22
2538,26,4,2015,149
2539,26,4,2016,57
2540,26,4,2017,32
2541,26,4,2018,53
2542,26,5,2011,27
2543,26,5,2012,11
2544,26,5,2013,10
2545,26,5,2014,35
2546,26,5,2015,135
2547,26,5,2016,45
2548,26,5,2017,55
2549,26,5,2018,107
2550,26,6,2011,20
2551,26,6,2012,20
2552,26,6,2013,11
2553,26,6,2014,64
