Community,Year,Total,asian,Black,hispanic,white,other 
28,2010,58899,8731,17802,6046,25091,1229
29,2010,35623,84,32077,2358,713,391
30,2010,72881,170,8570,61499,2393,249
31,2010,34979,383,1294,28661,4303,338
32,2010,30642,5131,3786,1823,19094,808
33,2010,22021,4246,5558,1424,10087,706
34,2010,13850,9750,1479,543,1610,468
35,2010,19430,2540,13815,426,2329,320
36,2010,6473,140,6052,122,147,12
37,2010,2543,  -,2289,191,52,11
38,2010,22531,102,20748,474,702,505
39,2010,18217,1492,12362,701,3236,426
40,2010,11647,11,11070,246,33,287
41,2010,26705,3242,8519,1681,12298,965
42,2010,25451,710,21693,617,1982,449
43,2010,48816,85,45844,1000,897,990
44,2010,31493,90,30636,230,202,335
45,2010,10098,30,9721,59,220,68
46,2010,28550,106,20802,6494,875,273
47,2010,2618,  -,2618,  -,  -,  -
48,2010,13400,19,12462,519,269,131
49,2010,44267,150,42822,489,471,335
50,2010,6970,42,5735,570,605,18
51,2010,15570,36,9722,4931,709,172
52,2010,23739,34,398,19148,4086,73
53,2010,28160,51,26297,1275,279,258
54,2010,7190,  -,6910,180,74,26
55,2010,9338,16,408,4887,3971,56
56,2010,34743,512,1461,15297,17169,304
57,2010,13998,333,111,10585,2890,79
58,2010,44130,3032,577,37509,2950,62
59,2010,16449,3185,446,9487,3104,227
60,2010,31939,10868,874,8941,10437,819
61,2010,41598,927,11222,23536,5473,440
62,2010,19165,257,133,15354,3397,24
63,2010,40381,333,1336,37260,1421,31
64,2010,24452,345,167,12005,11776,159
65,2010,33477,143,932,26926,5350,126
66,2010,56293,421,27974,25583,1854,461
67,2010,34272,11,32203,1297,258,503
68,2010,27297,73,26054,543,226,401
69,2010,32849,20,31332,602,419,476
70,2010,42809,195,20584,15384,6232,414
71,2010,47611,126,46204,672,175,434
72,2010,21002,83,7601,1169,11761,388
73,2010,26435,1,25394,359,198,483
74,2010,18357,410,826,1040,15870,211
75,2010,23204,52,15131,623,6925,473
76,2010,14143,1359,150,1675,10375,584
77,2010,55276,6482,7685,9007,30151,1951
1,2011,54402,3501,13320,13135,22769,1677
2,2011,72211,16868,8110,12672,31978,2583
3,2011,55137,4854,11445,6402,30371,2065
4,2011,40761,4480,1398,7184,26405,1294
5,2011,34623,1493,674,4987,26322,1147
6,2011,98212,6764,3428,7125,78186,2709
7,2011,66959,3806,3204,4418,53676,1855
8,2011,85711,9723,7910,4530,61334,2214
9,2011,11356,167,120,1063,9926,80
